,FILIAL,CODSUPERVISOR,Codigo,Data Início,Data Final
8385,1,111,4630,2023-10-17,2023-10-19
6159,1,111,4659,2023-10-17,2023-10-19
7114,1,111,4666,2023-10-17,2023-10-19
17925,1,114,4673,2023-10-17,2023-10-19
1396,1,110,4685,2023-10-17,2023-10-19
8387,1,111,4690,2023-10-17,2023-10-19
6164,1,111,4698,2023-10-17,2023-10-19
55277,1,100,4706,2023-10-17,2023-10-19
172,1,110,4715,2023-10-17,2023-10-19
1408,1,110,4725,2023-10-17,2023-10-19
18810,1,114,4757,2023-10-17,2023-10-19
18831,1,114,4768,2023-10-17,2023-10-19
8395,1,111,4773,2023-10-17,2023-10-19
21745,1,114,4791,2023-10-17,2023-10-19
16699,1,113,4839,2023-10-17,2023-10-19
875,1,110,4853,2023-10-17,2023-10-19
10760,1,111,4871,2023-10-17,2023-10-19
55279,1,100,4881,2023-10-17,2023-10-19
24169,1,114,4903,2023-10-17,2023-10-19
8399,1,111,4932,2023-10-17,2023-10-19
15676,1,113,4942,2023-10-17,2023-10-19
27168,1,117,4945,2023-10-17,2023-10-19
49298,1,100,4946,2023-10-17,2023-10-19
198,1,110,4958,2023-10-17,2023-10-19
27485,1,117,4962,2023-10-17,2023-10-19
26041,1,117,4968,2023-10-17,2023-10-19
30505,1,54,4989,2023-10-17,2023-10-19
35175,1,54,5003,2023-10-17,2023-10-19
36139,1,54,5007,2023-10-17,2023-10-19
35183,1,54,5010,2023-10-17,2023-10-19
1958,1,110,5013,2023-10-17,2023-10-19
4091,1,111,5022,2023-10-17,2023-10-19
89403,2,86,5025,2023-10-17,2023-10-19
30506,1,54,5028,2023-10-17,2023-10-19
27492,1,117,5047,2023-10-17,2023-10-19
27495,1,117,5048,2023-10-17,2023-10-19
30527,1,54,5055,2023-10-17,2023-10-19
1976,1,110,5063,2023-10-17,2023-10-19
8402,1,111,5065,2023-10-17,2023-10-19
1420,1,110,5079,2023-10-17,2023-10-19
8405,1,111,5105,2023-10-17,2023-10-19
26596,1,117,5113,2023-10-17,2023-10-19
36147,1,54,5120,2023-10-17,2023-10-19
11388,1,111,5131,2023-10-17,2023-10-19
8414,1,111,5133,2023-10-17,2023-10-19
11406,1,111,5141,2023-10-17,2023-10-19
8427,1,111,5158,2023-10-17,2023-10-19
12961,1,113,5179,2023-10-17,2023-10-19
52278,1,100,5189,2023-10-17,2023-10-19
11421,1,111,5201,2023-10-17,2023-10-19
1441,1,110,5203,2023-10-17,2023-10-19
81948,1,115,5209,2023-10-17,2023-10-19
18846,1,114,5230,2023-10-17,2023-10-19
13568,1,113,5245,2023-10-17,2023-10-19
11425,1,111,5250,2023-10-17,2023-10-19
69496,1,108,5271,2023-10-17,2023-10-19
13584,1,113,5275,2023-10-17,2023-10-19
22979,1,114,5287,2023-10-17,2023-10-19
13596,1,113,5299,2023-10-17,2023-10-19
14576,1,113,5308,2023-10-17,2023-10-19
27178,1,117,5375,2023-10-17,2023-10-19
81966,1,115,5394,2023-10-17,2023-10-19
55307,1,100,5397,2023-10-17,2023-10-19
78541,1,115,5416,2023-10-17,2023-10-19
9478,1,111,5435,2023-10-17,2023-10-19
13604,1,113,5442,2023-10-17,2023-10-19
52281,1,100,5460,2023-10-17,2023-10-19
18851,1,114,5466,2023-10-17,2023-10-19
11989,1,113,5467,2023-10-17,2023-10-19
18866,1,114,5468,2023-10-17,2023-10-19
205,1,110,5482,2023-10-17,2023-10-19
2939,1,110,5489,2023-10-17,2023-10-19
27496,1,117,5534,2023-10-17,2023-10-19
53129,1,100,5541,2023-10-17,2023-10-19
27516,1,117,5555,2023-10-17,2023-10-19
2957,1,110,5559,2023-10-17,2023-10-19
53135,1,100,5560,2023-10-17,2023-10-19
17932,1,114,5574,2023-10-17,2023-10-19
53151,1,100,5583,2023-10-17,2023-10-19
11991,1,113,5584,2023-10-17,2023-10-19
56249,1,100,5591,2023-10-17,2023-10-19
77135,1,115,5614,2023-10-17,2023-10-19
77149,1,115,5615,2023-10-17,2023-10-19
77162,1,115,5616,2023-10-17,2023-10-19
35193,1,54,5620,2023-10-17,2023-10-19
12965,1,113,5626,2023-10-17,2023-10-19
12994,1,113,5633,2023-10-17,2023-10-19
8435,1,111,5645,2023-10-17,2023-10-19
15679,1,113,5647,2023-10-17,2023-10-19
46814,1,73,5657,2023-10-17,2023-10-19
61741,1,104,5660,2023-10-17,2023-10-19
69499,1,108,5663,2023-10-17,2023-10-19
5301,1,111,5670,2023-10-17,2023-10-19
36172,1,54,5672,2023-10-17,2023-10-19
54231,1,100,5675,2023-10-17,2023-10-19
54236,1,100,5677,2023-10-17,2023-10-19
54250,1,100,5702,2023-10-17,2023-10-19
81976,1,115,5711,2023-10-17,2023-10-19
